num,x,y,tl,tr,q,s
0,244,-88,0,840,0,0
1,133,-58,238,469,75,17
2,335,-165,252,515,79,17
3,171,-40,525,626,42,24
4,193,-61,388,585,82,18
5,0,56,197,221,85,14
6,9,115,766,782,67,15
7,334,136,446,811,47,21
8,323,146,556,612,80,10
9,84,35,371,774,21,11
10,135,70,15,87,70,16
11,8,-65,432,497,59,19
12,125,-55,326,779,56,10
13,268,-64,101,505,65,20
14,250,128,498,612,67,11
15,239,10,368,588,55,21
16,332,-41,408,452,19,21
17,57,5,430,748,28,28
18,242,-19,108,236,36,27
19,149,-102,33,580,40,10
20,196,25,430,566,85,19
21,297,37,256,356,49,17
22,224,134,88,429,54,23
23,306,89,783,837,54,27
24,200,137,113,819,28,27
25,145,-157,768,803,86,26
26,316,-9,216,820,10,17
27,40,92,330,808,11,13
28,165,-179,712,827,46,20
29,346,167,26,153,96,20
30,91,-116,688,822,34,13
31,165,-178,40,611,25,14
32,23,176,770,836,12,16
33,110,151,635,665,75,18
34,260,-42,128,292,88,24
35,33,-48,536,655,20,23
36,85,-88,187,532,44,28
37,199,-82,335,395,17,27
38,41,166,305,694,15,24
39,132,-159,507,726,69,17
40,298,-112,699,740,75,27
41,182,85,238,365,97,20
42,296,-34,284,701,19,22
43,145,52,458,551,80,13
44,162,122,30,171,15,27
45,85,66,201,776,77,24
46,137,-1,244,389,75,24
47,255,65,647,784,63,13
48,13,-60,148,824,24,16
49,329,-170,138,802,70,27
50,283,-80,641,668,33,10
51,251,-153,208,649,62,20
52,51,57,179,316,61,28
53,86,-148,461,661,33,19
54,124,-36,527,691,12,23
55,115,-143,66,186,42,16
56,257,-90,120,625,41,27
57,235,-106,392,765,92,14
58,133,-58,0,840,0,0
