number,x,y,tl,tr,q
198,-38
0,72,9,132,331,29
1,331,171,281,791,92
2,357,66,576,713,92
3,248,-98,723,831,37
4,346,179,434,523,37
5,76,-155,782,831,95
6,82,133,746,750,41
7,248,-20,688,827,84
8,238,-141,291,747,48
9,208,9,472,682,20
10,96,-69,455,798,23
11,339,-51,528,537,72
12,267,122,696,748,20
13,349,-112,817,838,6
14,116,44,726,791,80
15,270,40,779,829,5
16,178,136,308,726,49
17,271,-162,634,689,97
18,101,-111,619,622,65
19,284,-86,417,540,58
20,217,-64,227,821,89
21,232,157,547,726,2
22,133,-178,0,408,81
23,246,-21,334,452,84
24,199,80,318,393,7
25,304,-122,310,485,94
26,19,-118,665,688,20
27,213,-97,827,836,4
28,137,-48,293,600,59
29,90,-166,333,725,57
30,67,45,163,472,18
31,250,-148,568,676,38
32,97,171,336,728,37
33,312,-170,457,615,79
34,25,-77,617,798,23
35,114,131,150,323,56
36,162,78,509,724,27
37,287,4,623,726,38
38,96,97,825,830,82
39,300,10,218,245,21
40,348,125,357,371,32
41,35,69,435,675,85
42,79,45,504,788,5
43,347,36,409,500,67
44,2,163,547,787,92
45,109,69,747,808,25
46,341,38,127,692,56
47,177,166,759,826,57
48,136,89,95,771,52
49,53,18,508,708,53
50,335,57,455,501,61
51,150,57,102,461,80
52,192,-98,723,836,76
53,105,-153,0,263,37
54,99,67,773,832,74
55,206,-155,379,581,67
56,222,-152,157,212,51
57,121,-38,718,801,36
58,143,-158,707,807,9
59,199,-104,425,696,63
60,19,144,743,820,42
61,225,-138,130,232,39
62,100,-90,661,716,42
63,156,-20,376,576,63
64,148,35,669,758,55
65,122,92,354,512,36
66,73,-50,675,807,12
67,164,39,774,825,59
68,208,28,781,798,67
69,11,50,777,837,84
70,309,173,356,837,98
71,212,-92,334,608,89
72,142,-89,356,720,88
73,356,51,545,718,53
74,250,161,836,836,38
75,288,58,559,786,63
76,14,-108,599,622,18
77,70,-160,357,496,83
78,281,22,517,791,92
79,208,-104,457,597,17
80,307,35,521,709,82
81,230,-27,85,820,24
82,18,-90,439,708,73
83,127,-141,368,380,21
84,292,-77,535,740,56
85,338,92,644,655,75
86,252,-180,276,335,25
87,311,-132,707,813,72
88,138,-8,573,800,48
89,110,75,811,834,33
90,17,-60,250,541,29
91,183,85,52,373,28
92,5,71,19,539,74
93,127,-8,511,836,88
94,296,111,59,684,90
95,115,40,289,450,48
96,129,24,62,210,32
97,29,-108,304,728,96
98,95,88,775,825,38
99,339,36,721,824,91
